subjects,verbs,objects,sentences,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,نوڈلز,میں نوڈلز کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,میکرونیز,میں میکرونیز کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,پیزا,میں پیزا کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,فرائز,میں فرائز کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,جیم,میں جیم کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,لنچ باکس,میں اپنا لنچ باکس کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,پاستا,میں پاستا کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,کیچپ,میں کیچپ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,پھل,میں پھل کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,دودھ,میں دودھ پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,جوس,میں جوس پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,کافی,میں کافی پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,چائے,میں چائے پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,پانی,میں پانی پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,چاول,میں چاول کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,ڈبل روٹی,میں ڈبل روٹی کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,انڈہ,میں انڈہ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,ٹافی,میں ٹافی کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,ڈبل روٹی جیم,میں ڈبل روٹی جیم کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,چاکلیٹ,میں چاکلیٹ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,بسکٹ,میں بسکٹ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,آئس کریم,میں آئس کریم کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,برگر,میں برگر کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,سینڈوچ,میں سینڈوچ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,سوپ,میں سوپ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,نوڈلز,میں نوڈلز کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,میکرونیز,میں میکرونیز کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,پیزا,میں پیزا کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,فرائز,میں فرائز کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,جیم,میں جیم کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,لنچ باکس,میں اپنا لنچ باکس کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,پاستا,میں پاستا کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,,کیچپ,میں کیچپ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,چائے,مجھے چائے پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,فرائز,میں فرائز پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,کیچپ,میں کیچپ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,کافی,میں کافی پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,پاستا,میں پاستا پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,جیم,میں جیم پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,دودھ,میں دودھ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,جوس,میں جوس پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,پانی,میں پانی پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,چاول,میں چاول پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,ڈبل روٹی,میں ڈبل روٹی پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,انڈہ,میں انڈہ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,ٹافی,میں ٹافی پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,ڈبل روٹی جیم,میں ڈبل روٹی جیم پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,چاکلیٹ,میں چاکلیٹ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,بسکٹ,میں بسکٹ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,آئس کریم,میں آئس کریم پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,برگر,میں برگر پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,سینڈوچ,میں سینڈوچ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,سوپ,میں سوپ پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,نوڈلز,میں نوڈلز پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,میکرونیز,میں میکرونیز پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,پیزا,میں پیزا پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,پانی کی بوتل,میں پانی کی بوتل پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,کلرنگ بک,میں کلرنگ بک پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,کلرنگ,میں کلرنگ بک پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند,لنچ باکس,میں لنچ باکس پسند کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,پانی کی بوتل,میں پانی کی بوتل پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,لنچ باکس,میں لنچ باکس پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,دودھ,میں دودھ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,جوس,میں جوس پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,پانی,میں پانی پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,چاول,میں چاول پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,ڈبل روٹی,میں ڈبل روٹی پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,انڈہ,میں انڈہ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,ٹافی,میں ٹافی پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,ڈبل روٹی جیم,میں ڈبل روٹی جیم پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,چاکلیٹ,میں چاکلیٹ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,بسکٹ,میں بسکٹ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,آئس کریم,میں آئس کریم پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,برگر,میں برگر پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,سینڈوچ,میں سینڈوچ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,سوپ,میں سوپ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,نوڈلز,میں نوڈلز پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,میکرونیز,میں میکرونیز پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,چائے,میں چائے پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,فرائز,میں فرائز پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,کیچپ,میں کیچپ پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,کافی,میں کافی پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,پاستا,میں پاستا پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,جیم,میں جیم پسند نہیں کرتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پسند نہیں,پیزا,میں پانی کی بوتل پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,کیچپ,ماما کیچپ کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پینا,دودھ,ماما دودھ پینا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پینا,جوس,ماما جوس پینا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پینا,کافی,ماما کافی پینا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پینا,چائے ,ماما چائے  پینا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پینا,پانی,ماما پانی پینا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,چاول,ماما چاول کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,ڈبل روٹی,ماما ڈبل روٹی کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,انڈہ,ماما انڈہ کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,ٹافی,ماما ٹافی کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,ڈبل روٹی جیم,ماما ڈبل روٹی جیم کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,چاکلیٹ,ماما چاکلیٹ کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,بسکٹ,ماما بسکٹ کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,آئس کریم,ماما آئس کریم کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,برگر,ماما برگر کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,سینڈوچ,ماما سینڈوچ کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,سوپ,ماما سوپ کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,نوڈلز,ماما نوڈلز کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,میکرونیز,ماما میکرونیز کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,پیزا,ماما پیزا کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,فرائز,ماما فرائز کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,جیم,ماما جیم کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا, صبح کا کھانا,ماما صبح کا کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,رات کا کھانا,ماما رات کا  کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,لنچ باکس ,ماما اپنا لنچ باکس  کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,پاستا ,ماما پاستا کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,کھانا,دوپہر کا کھانا,ماما دوپہر کا کھانا کھانا چاہتی ہیں۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,دودھ,ماما کو دودھ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,جوس,ماما کو جوس چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,پانی,ماما کو پانی چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,چاول,ماما کو چاول چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,ڈبل روٹی,ماما کو ڈبل روٹی چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,انڈہ,ماما کو انڈہ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,ٹافی,ماما کو ٹافی چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,ڈبل روٹی جیم,ماما کو ڈبل روٹی جیم چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,چاکلیٹ,ماما کو چاکلیٹ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,بسکٹ,ماما کو بسکٹ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,آئس کریم,ماما کو آئس کریم چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,برگر,ماما کو برگر چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,سینڈوچ,ماما کو سینڈوچ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,سوپ,ماما کو سوپ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,نوڈلز,ماما کو نوڈلز چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,میکرونیز,ماما کو میکرونیز چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,پیزا,ماما کو پیزا چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,پانی کی بوتل,ماما کو پانی کی بوتل چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,چائے ,ماما کو پانی چائے چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,فرائز,ماما کو فرائز چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,کیچپ,ماما کو کیچپ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,کافی,ماما کو کافی چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,لنچ باکس ,ماما کو لنچ باکس چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,پاستا,ماما کو پاستا چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,جیم,ماما کو جیم چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,,پانی کا گلاس,ماما کو پانی کا گلاس چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,چائے ,ماما کو چائے  پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,فرائز,ماما کو فرائز پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,کیچپ,ماما کو کیچپ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,کافی,ماما کو کافی پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,پاستا,ماما کو پاستا پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,جیم,ماما کو جیم پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,دودھ ,ماما کو دودھ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,جوس,ماما کو جوس پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,پانی,ماما کو پانی پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,چاول,ماما کو چاول پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,ڈبل روٹی,ماما کو ڈبل روٹی پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,انڈہ,ماما کو انڈہ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,ٹافی,ماما کو ٹافی پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,ڈبل روٹی جیم,ماما کو ڈبل روٹی جیم پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,چاکلیٹ,ماما کو چاکلیٹ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,بسکٹ,ماما کو بسکٹ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,آئس کریم,ماما کو آئس کریم پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,برگر,ماما کو برگر پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,سینڈوچ,ماما کو سینڈوچ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,سوپ,ماما کو سوپ پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,نوڈلز,ماما کو نوڈلز پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,میکرونیز,ماما کو میکرونیز پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,پیزا,ماما کو پیزا پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,پانی کی بوتل,ماما کو پانی کی بوتل پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند,لنچ باکس ,ماما کو لنچ باکس  پسند ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,پانی کی بوتل,ماما کو پانی کی بوتل پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,لنچ باکس ,ماما کو لنچ باکس پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,دودھ,ماما کو دودھ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,جوس,ماما کو جوس پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,پانی,ماما کو پانی پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,چاول,ماما کو چاول پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,ڈبل روٹی,ماما کو ڈبل روٹی پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,انڈہ,ماما کو انڈہ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,ٹافی,ماما کو ٹافی پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,ڈبل روٹی جیم,ماما کو ڈبل روٹی جیم پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,چاکلیٹ,ماما کو چاکلیٹ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,بسکٹ,ماما کو بسکٹ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,آئس کریم,ماما کو آئس کریم پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,برگر,ماما کو برگر پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,سینڈوچ,ماما کو سینڈوچ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,سوپ,ماما کو سوپ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,نوڈلز,ماما کو نوڈلز پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,میکرونیز,ماما کو میکرونیز پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,چائے ,ماما کو چائے پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,فرائز,ماما کو فرائز پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,کیچپ,ماما کو کیچپ پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,کافی,ماما کو کافی پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,پاستا,ماما کو پاستا پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,جیم,ماما کو جیم پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
ماما,پسند نہیں,پیزا,ماما کو پیزا پسند نہیں ہے۔,,,,,,,,,,,,,,,,,,,,,,
بابا,پینا,دودھ,بابا دودھ پینا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,پینا,جوس,بابا جوس پینا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,پینا,کافی,بابا کافی پینا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,پینا,چائے ,بابا چائے  پینا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,پینا,پانی,بابا پانی پینا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,چاول,بابا چاول کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,ڈبل روٹی,بابا ڈبل روٹی کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,انڈہ,بابا انڈہ کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,ٹافی,بابا ٹافی کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,ڈبل روٹی جیم,بابا ڈبل روٹی جیم کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,چاکلیٹ,بابا چاکلیٹ کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,بسکٹ,بابا بسکٹ کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,آئس کریم,بابا آئس کریم کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,برگر,بابا برگر کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,سینڈوچ,بابا سینڈوچ کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,سوپ,بابا سوپ کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,نوڈلز,بابا نوڈلز کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,میکرونیز,بابا میکرونیز کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,پیزا,بابا پیزا کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,فرائز,بابا فرائز کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,جیم,بابا جیم کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا, صبح کا کھانا,بابا صبح کا کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,رات کا کھانا,بابا رات کا  کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,لنچ باکس ,بابا اپنا لنچ باکس  کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,پاستا ,بابا پاستا کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,کھانا,دوپہر کا کھانا,بابا دوپہر کا کھانا کھانا چاہتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
بابا,,دودھ,بابا کو دودھ چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
بابا,,جوس,بابا کو جوس چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
بابا,,پانی,بابا کو پانی چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
بابا,,چاول,بابا کو چاول چاہیے۔,,,,,,,,,,,,,,,,,,,,,,
